Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Ischemic heart disease,0.5,0.7,10.5,0.5,0.6,10.0,0.5,0.8,9.6,0.5,0.6,9.0,0.3,0.5,8.2,1815.0,1875.0,1742.0,1626.0,1632
Covid-19 virus identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,5.5,0.0,0.0,0.0,0.0,1151
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,71
Dementia,0.0,0.1,5.7,0.0,0.1,6.0,0.0,0.1,6.0,0.0,0.1,5.9,0.0,0.1,5.4,901.0,1026.0,988.0,969.0,1008
Diabetes,0.3,0.4,2.7,0.2,0.3,2.6,0.2,0.3,2.7,0.1,0.3,2.3,0.1,0.3,2.7,509.0,511.0,509.0,441.0,563
Influenza,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.1,11.0,47.0,44.0,59.0,21
Alzheimer's disease,0.1,0.1,1.8,0.0,0.1,1.9,0.1,0.1,1.7,0.0,0.1,1.6,0.0,0.1,1.5,304.0,339.0,304.0,279.0,287
Cerebrovascular diseases,0.2,0.4,8.2,0.2,0.5,7.3,0.2,0.5,7.4,0.2,0.5,7.2,0.2,0.4,7.1,1350.0,1342.0,1299.0,1274.0,1382
Congenital diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,13.0,17.0,15
Chronic lower respiratory disease,0.2,0.2,3.3,0.1,0.2,3.9,0.1,0.2,3.5,0.1,0.2,3.4,0.1,0.2,2.6,570.0,716.0,612.0,598.0,521
Blood diseases,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.5,67.0,74.0,72.0,82.0,93
Osteo-muscular diseases,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.1,0.5,77.0,77.0,91.0,101.0,101
Skin and subcutaneous tissue diseases,0.3,0.4,2.9,0.2,0.4,2.9,0.3,0.4,3.0,0.2,0.4,3.1,0.3,0.3,2.8,549.0,592.0,594.0,605.0,606
Gastrointestinal diseases,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,27.0,33.0,21.0,35.0,44
Genitourinary diseases,0.1,0.1,2.1,0.0,0.1,2.1,0.1,0.1,2.2,0.0,0.2,2.3,0.1,0.2,2.0,362.0,373.0,400.0,408.0,410
Infectious diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,7.0,10.0,5.0,15.0,54
Interstitial lung diseases (Interstitial pneumonia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,3
Murders,0.0,0.1,2.5,0.1,0.1,3.4,0.1,0.1,3.1,0.1,0.1,3.6,0.1,0.1,3.0,410.0,604.0,531.0,599.0,574
Pneumonia,0.0,0.1,1.4,0.0,0.0,1.5,0.1,0.1,1.7,0.0,0.0,1.8,0.1,0.2,3.2,230.0,269.0,289.0,299.0,624
"Ill-defined symptoms, signs and conditions",0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,36.0,38.0,36.0,35.0,32
Suicides,0.0,0.1,1.5,0.0,0.1,1.6,0.1,0.1,1.5,0.0,0.1,1.6,0.0,0.1,1.9,248.0,280.0,268.0,292.0,350
Tumors,3.1,4.0,18.8,2.9,3.8,17.8,3.0,3.9,18.0,2.6,3.9,17.4,2.3,3.4,16.9,3996.0,4114.0,4019.0,3852.0,4075
