Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Covid-19 virus not identified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3
Dementia,0.0,0.0,2.2,0.0,0.1,2.7,0.0,0.0,2.7,0.1,0.0,2.8,0.0,0.1,2.4,135,198,185,208,170
Diabetes,0.4,0.4,4.7,0.4,0.5,4.5,0.3,0.5,4.4,0.5,0.6,4.6,0.3,0.6,4.7,335,386,347,399,376
Influenza,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,5,18,13,16,3
Alzheimer's disease,0.0,0.0,1.5,0.0,0.1,1.5,0.0,0.1,1.5,0.0,0.1,1.3,0.0,0.0,1.2,97,112,110,99,85
Cerebrovascular diseases,0.3,0.4,10.9,0.4,0.6,10.7,0.3,0.5,10.2,0.3,0.6,9.7,0.4,0.7,9.6,721,825,722,743,723
Congenital diseases,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,3,3
Chronic lower respiratory disease,0.1,0.2,4.4,0.2,0.3,4.9,0.2,0.3,4.4,0.2,0.3,5.3,0.2,0.2,4.2,289,379,326,411,308
Blood diseases,0.0,0.0,0.5,0.0,0.1,0.5,0.0,0.0,0.4,0.0,0.1,0.5,0.0,0.1,0.5,30,37,29,41,41
Osteo-muscular diseases,0.0,0.1,0.3,0.1,0.1,0.4,0.0,0.1,0.4,0.1,0.1,0.5,0.1,0.0,0.3,24,39,35,45,30
Skin and subcutaneous tissue diseases,0.4,0.4,2.4,0.3,0.3,2.6,0.3,0.3,2.2,0.2,0.4,2.5,0.4,0.5,2.3,194,223,185,219,217
Gastrointestinal diseases,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,6,10,12,10,12
Genitourinary diseases,0.2,0.2,1.2,0.1,0.1,1.1,0.2,0.2,1.2,0.1,0.2,1.4,0.2,0.2,0.9,101,93,105,120,90
Infectious diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,2,6,3,8,14
Interstitial lung diseases (Interstitial pneumonia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,0,1
Murders,0.0,0.1,0.5,0.0,0.1,0.8,0.0,0.1,1.0,0.1,0.0,1.1,0.1,0.0,0.8,36,65,73,83,63
Pneumonia,0.0,0.1,2.5,0.1,0.1,2.5,0.2,0.1,2.8,0.1,0.1,2.4,0.2,0.4,3.5,162,185,201,184,273
"Ill-defined symptoms, signs and conditions",0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,10,15,11,14,4
Suicides,0.0,0.2,2.0,0.0,0.2,1.5,0.0,0.1,1.7,0.0,0.2,1.8,0.0,0.1,1.7,136,120,126,139,126
Tumors,3.1,3.3,15.0,2.6,3.3,13.0,2.6,3.5,12.8,2.5,3.0,13.0,2.9,3.6,13.6,1330,1331,1252,1305,1360
