Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Cerebrovascular diseases,0.2,0.6,7.3,0.1,0.3,7.1,0.2,0.4,6.8,0.2,0.2,7.1,0.1,0.4,5.9,234,241,230,233,267
Congenital diseases,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.0,0.0,2,3,10,4,7
Chronic lower respiratory disease,0.2,0.4,3.2,0.1,0.3,4.2,0.1,0.3,4.1,0.0,0.4,3.3,0.1,0.1,3.4,111,147,140,115,150
Blood diseases,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.4,0.1,0.0,0.2,0.0,0.0,0.5,13,10,13,10,20
Osteo-muscular diseases,0.0,0.1,0.8,0.0,0.1,0.7,0.1,0.1,0.5,0.0,0.1,1.0,0.0,0.0,0.7,26,26,23,35,30
Skin and subcutaneous tissue diseases,0.4,0.3,3.1,0.2,0.3,2.6,0.2,0.4,2.3,0.2,0.4,2.2,0.2,0.1,2.0,113,102,92,85,98
Gastrointestinal diseases,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,4,1,3,6,3
Genitourinary diseases,0.2,0.1,1.3,0.1,0.1,1.5,0.1,0.1,1.9,0.1,0.1,1.2,0.0,0.2,1.3,47,54,65,44,66
Infectious diseases,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,4,1,0,4,13
Interstitial lung diseases (Interstitial pneumonia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1,0,0,2,0
Murders,0.1,0.1,2.3,0.0,0.1,2.4,0.1,0.2,2.9,0.1,0.1,3.1,0.0,0.0,2.0,78,83,101,103,87
Pneumonia,0.1,0.1,1.4,0.0,0.0,1.8,0.0,0.1,1.7,0.0,0.0,1.9,0.0,0.2,2.5,48,60,59,61,114
"Ill-defined symptoms, signs and conditions",0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.1,0.1,0.3,0.0,0.0,0.1,10,6,7,14,6
Suicides,0.1,0.0,1.5,0.0,0.1,1.5,0.0,0.1,1.7,0.0,0.0,1.9,0.0,0.1,1.5,45,53,57,61,72
Tumors,3.1,4.3,18.3,2.8,3.5,17.6,2.8,3.7,19.0,2.8,3.7,16.9,2.0,3.4,14.5,745,765,793,726,822
