Cause of death,From 65 to 69 years 2016,From 70 to 74 years 2016,75 years or over 2016,From 65 to 69 years 2017,From 70 to 74 years 2017,75 years or over 2017,From 65 to 69 years 2018,From 70 to 74 years 2018,75 years or over 2018,From 65 to 69 years 2019,From 70 to 74 years 2019,75 years or over 2019,From 65 to 69 years 2020,From 70 to 74 years 2020,75 years or over 2020,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Alzheimer's disease,0.0,0.1,1.0,0.0,0.1,1.2,0.0,0.1,1.1,0.0,0.1,1.0,0.0,0.0,1.2,54,67,59,49,68
Cerebrovascular diseases,0.3,0.5,9.4,0.3,0.5,9.9,0.2,0.4,9.3,0.2,0.6,8.0,0.2,0.4,9.2,482,552,484,413,526
Congenital diseases,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,6,3,4,2,9
Chronic lower respiratory disease,0.3,0.1,3.8,0.2,0.2,4.5,0.1,0.3,3.2,0.1,0.2,3.8,0.1,0.2,3.1,199,254,175,190,179
Blood diseases,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.1,0.3,0.0,0.0,0.4,0.0,0.0,0.3,17,17,22,17,22
Osteo-muscular diseases,0.1,0.0,0.4,0.0,0.1,0.5,0.1,0.1,0.5,0.0,0.0,0.6,0.0,0.1,0.4,25,29,32,31,27
Skin and subcutaneous tissue diseases,0.3,0.3,2.9,0.1,0.4,3.1,0.4,0.3,2.9,0.2,0.5,4.0,0.3,0.2,2.9,165,188,180,218,181
Gastrointestinal diseases,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.3,5,17,8,11,18
Genitourinary diseases,0.1,0.2,2.1,0.2,0.2,1.9,0.1,0.1,2.3,0.1,0.1,2.2,0.1,0.2,2.2,112,117,124,115,131
Infectious diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2,2,5,1,6
Interstitial lung diseases (Interstitial pneumonia),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0,0
Murders,0.1,0.1,3.7,0.1,0.1,3.9,0.1,0.1,3.9,0.1,0.1,4.0,0.1,0.1,3.5,183,212,202,197,201
Pneumonia,0.1,0.1,1.1,0.1,0.1,1.4,0.0,0.1,1.8,0.0,0.1,1.6,0.1,0.1,1.8,59,81,96,77,106
"Ill-defined symptoms, signs and conditions",0.1,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.2,13,15,7,7,16
Suicides,0.0,0.0,1.1,0.1,0.1,1.2,0.0,0.1,1.4,0.0,0.1,1.2,0.1,0.1,1.2,57,69,73,62,72
Tumors,3.4,4.4,18.9,2.5,4.2,17.3,2.8,4.5,19.1,2.8,3.9,18.3,2.7,3.8,17.6,1256,1238,1301,1168,1289
